instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
XAUUSD,M5,2026-05-16 07:10:00+00:00,4537.75511,4537.93621,4537.72966,4537.72966,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:15:00+00:00,4537.75979,4537.95893,4537.69834,4537.81482,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:20:00+00:00,4537.76074,4537.90123,4537.70523,4537.8531,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:25:00+00:00,4537.75636,4537.95356,4537.67852,4537.8547,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:30:00+00:00,4537.74713,4537.92035,4537.72563,4537.72563,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:35:00+00:00,4537.75327,4537.9505,4537.69062,4537.81714,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:40:00+00:00,4537.74593,4537.89134,4537.71281,4537.85086,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:45:00+00:00,4537.7563,4537.96426,4537.69368,4537.86773,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:50:00+00:00,4537.75926,4537.93206,4537.7399,4537.7399,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 07:55:00+00:00,4537.76678,4537.968,4537.70104,4537.82996,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:00:00+00:00,4537.76491,4537.89531,4537.73232,4537.86091,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:05:00+00:00,4537.7686,4537.96627,4537.69321,4537.75685,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:10:00+00:00,4537.75933,4537.91682,4537.73885,4537.73885,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:15:00+00:00,4537.76233,4537.95951,4537.69535,4537.82925,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:20:00+00:00,4537.75848,4537.89959,4537.74176,4537.85368,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:25:00+00:00,4537.76372,4537.96512,4537.6939,4537.74957,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:30:00+00:00,4537.75551,4537.90309,4537.7403,4537.7403,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:35:00+00:00,4537.75998,4537.95299,4537.69293,4537.83019,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:40:00+00:00,4537.75405,4537.90557,4537.74758,4537.84789,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:45:00+00:00,4537.76194,4537.96075,4537.68479,4537.73874,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:50:00+00:00,4537.74969,4537.89029,4537.72886,4537.738,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 08:55:00+00:00,4537.75449,4537.95587,4537.69768,4537.83089,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:00:00+00:00,4537.74984,4537.91727,4537.74984,4537.84615,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:05:00+00:00,4537.76363,4537.95747,4537.68435,4537.73609,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:10:00+00:00,4537.75068,4537.88054,4537.71943,4537.73632,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:15:00+00:00,4537.74834,4537.94998,4537.68128,4537.83147,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:20:00+00:00,4537.74656,4537.91638,4537.74529,4537.82468,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:25:00+00:00,4537.74656,4537.94664,4537.67259,4537.72133,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:30:00+00:00,4537.74039,4537.87995,4537.69816,4537.72716,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:35:00+00:00,4537.73421,4537.93635,4537.67038,4537.82143,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:40:00+00:00,4537.73215,4537.91071,4537.71922,4537.80471,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:45:00+00:00,4537.73215,4537.93142,4537.66419,4537.70924,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:50:00+00:00,4537.73215,4537.88597,4537.68632,4537.72981,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 09:55:00+00:00,4537.73281,4537.94415,4537.67603,4537.83267,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:00:00+00:00,4537.74039,4537.92908,4537.7235,4537.81257,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:05:00+00:00,4537.74471,4537.94415,4537.67533,4537.7168,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:10:00+00:00,4537.74245,4537.90239,4537.68909,4537.80036,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:15:00+00:00,4537.74039,4537.94276,4537.67376,4537.83555,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:20:00+00:00,4537.74039,4537.93072,4537.71025,4537.79849,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:25:00+00:00,4537.73644,4537.93983,4537.67115,4537.70779,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:30:00+00:00,4537.73627,4537.9126,4537.6855,4537.7989,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:35:00+00:00,4537.74451,4537.94665,4537.67877,4537.84398,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:40:00+00:00,4537.74656,4537.9414,4537.70902,4537.8036,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:45:00+00:00,4537.74698,4537.94869,4537.68231,4537.71407,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:50:00+00:00,4537.74451,4537.92394,4537.6857,4537.79526,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 10:55:00+00:00,4537.74656,4537.94321,4537.67854,4537.84592,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:00:00+00:00,4537.74656,4537.94529,4537.70185,4537.81308,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:05:00+00:00,4537.74656,4537.95044,4537.68816,4537.71449,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:10:00+00:00,4537.74656,4537.93067,4537.68242,4537.78948,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:15:00+00:00,4537.74656,4537.93864,4537.67937,4537.84736,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:20:00+00:00,4537.74656,4537.93786,4537.68459,4537.81248,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
XAUUSD,M5,2026-05-16 11:25:00+00:00,4537.73826,4537.93645,4537.68113,4537.70084,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-16T12:07:13Z
