instrument,timeframe,status,rows,complete_rows,last_complete_bar_open_utc,output_file
EURUSD,M15,RESAMPLED,3114,3113,2026-05-21T05:45:00+00:00,data/live_resampled/EURUSD_M15_from_M5.csv.gz
EURUSD,H1,RESAMPLED,780,776,2026-05-21T05:00:00+00:00,data/live_resampled/EURUSD_H1_from_M5.csv.gz
EURUSD,H4,RESAMPLED,201,188,2026-05-21T00:00:00+00:00,data/live_resampled/EURUSD_H4_from_M5.csv.gz
EURUSD,D1,RESAMPLED,39,26,2026-05-20T00:00:00+00:00,data/live_resampled/EURUSD_D1_from_M5.csv.gz
USDJPY,M15,RESAMPLED,3151,3149,2026-05-21T05:45:00+00:00,data/live_resampled/USDJPY_M15_from_M5.csv.gz
USDJPY,H1,RESAMPLED,789,785,2026-05-21T05:00:00+00:00,data/live_resampled/USDJPY_H1_from_M5.csv.gz
USDJPY,H4,RESAMPLED,203,190,2026-05-21T00:00:00+00:00,data/live_resampled/USDJPY_H4_from_M5.csv.gz
USDJPY,D1,RESAMPLED,39,26,2026-05-20T00:00:00+00:00,data/live_resampled/USDJPY_D1_from_M5.csv.gz
XAUUSD,M15,RESAMPLED,3101,3100,2026-05-21T05:45:00+00:00,data/live_resampled/XAUUSD_M15_from_M5.csv.gz
XAUUSD,H1,RESAMPLED,777,774,2026-05-21T05:00:00+00:00,data/live_resampled/XAUUSD_H1_from_M5.csv.gz
XAUUSD,H4,RESAMPLED,205,175,2026-05-21T00:00:00+00:00,data/live_resampled/XAUUSD_H4_from_M5.csv.gz
XAUUSD,D1,RESAMPLED,39,27,2026-05-20T00:00:00+00:00,data/live_resampled/XAUUSD_D1_from_M5.csv.gz
